Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
2,5.04,49,19,4.08,18,40.91,3,17,148,72,47,45.95,18,Sander van de Streek,sander-van-de-streek,Antalyaspor,
2,0.59,8,2,25.0,0,0.0,0,4,29,11,18,39.19,10,Federico Macheda,federico-macheda,MKE Ankaragücü,
2,3.16,21,7,9.52,13,50.0,0,9,102,35,7,38.89,11,Abdoulay Diaby,abdoulay-diaby,Pendikspor,
2,1.99,22,12,9.09,25,46.3,1,16,87,42,5,31.76,5,Clinton N'Jie,clinton-njie,Sivasspor,
2,2.54,13,4,15.38,3,20.0,0,4,42,30,15,37.5,25,Landry Dimata,landry-dimata,Yılport Samsunspor,
1,2.02,27,11,3.7,55,63.22,9,48,624,181,25,60.23,58,Ferdi Kadıoğlu,ferdi-kadioglu,Fenerbahçe,
1,1.94,24,8,4.17,5,45.45,3,19,111,93,72,57.29,26,Emirhan Topçu,emirhan-topcu,Çaykur Rizespor,
1,1.96,29,4,3.45,7,41.18,4,24,354,130,25,52.01,51,Lucas Torreira,lucas-torreira,Galatasaray,
1,1.26,24,7,4.17,16,76.19,3,16,202,115,68,60.6,35,Richard Cândido,richard-candido,Alanyaspor,
1,0.49,14,4,7.14,15,65.22,1,15,226,127,36,60.37,44,Berat Ayberk Özdemir,berat-ayberk-ozdemir,Trabzonspor,
1,5.05,62,16,1.61,30,43.48,15,61,186,103,30,46.02,36,Miguel Cardoso,miguel-cardoso,Kayserispor,
1,0.95,17,3,5.88,21,65.63,4,19,188,77,17,50.81,20,Salih Uçan,salih-ucan,Beşiktaş,
1,1.19,11,4,9.09,17,48.57,0,18,254,68,30,49.25,18,Sacha Boey,boey-sacha,Galatasaray,
1,1.6,25,7,4.0,24,66.67,0,15,143,115,9,63.27,55,Badou Ndiaye,badou-ndiaye,Pendikspor,
1,1.0,19,5,5.26,7,46.67,5,27,205,47,49,56.14,13,Kaan Ayhan,kaan-ayhan,Galatasaray,
1,0.32,12,4,8.33,8,53.33,4,28,204,69,37,56.68,15,Zeki Yavru,zeki-yavru,Yılport Samsunspor,
1,0.58,6,2,16.67,14,70.0,4,23,133,85,16,56.11,24,Bünyamin Balcı,bunyamin-balci,Antalyaspor,
1,1.48,14,8,7.14,21,47.73,4,23,79,54,3,51.82,16,Modou Barrow,modou-barrow,Sivasspor,
1,0.67,13,2,7.69,2,50.0,0,5,105,32,53,60.71,17,Stefano Denswil,stefano-denswil,Trabzonspor,
1,0.26,8,2,12.5,14,56.0,5,17,177,120,34,59.69,49,Ahmet Oğuz,ahmet-oguz,Konyaspor,
1,1.01,12,6,8.33,4,44.44,1,10,103,38,55,61.18,2,Kenneth Omeruo,kenneth-omeruo,Kasımpaşa,
1,0.75,6,1,16.67,5,83.33,0,1,34,54,63,71.78,25,Bahadır Öztürk,bahadir-ozturk,Antalyaspor,
1,1.42,16,4,6.25,3,100.0,1,7,91,54,73,65.13,13,Uroš Radaković,uros-radakovic,MKE Ankaragücü,
1,0.92,11,1,9.09,5,62.5,0,12,103,86,55,61.84,27,Uğurcan Yazğılı,ugurcan-yazgili,Konyaspor,
